titre;date;resume;resume_tr;url
Siggraph : NVIDIA dévoile de nouveaux outils et microservices NIM pour l’OpenUSD;2024-07-31;"Here is a detailed and concise summary of the content:

NVIDIA has unveiled significant advancements in the field of Universal Scene Description (OpenUSD), a universal data exchange framework for 3D content. At the SIGGRAPH 2024 conference, NVIDIA announced new tools and microservices, NIM (NVIDIA Intelligent Modeling), designed to accelerate the adoption of OpenUSD in industries such as robotics, industrial design, and engineering. OpenUSD is an open and extensible ecosystem created by Pixar Animation Studio, allowing for the description, composition, simulation, and collaboration of 3D scenes.

The new microservices, NIM, enable developers to integrate AI-generated copilots and agents into USD workflows, accelerating the adoption of OpenUSD in various industrial sectors. The microservices include:

* USD Code NIM: generates OpenUSD-Python code from text-based invites
* USD Search NIM: allows developers to search massive libraries of OpenUSD, 3D, and image data using natural language or image inputs
* USD Validate NIM: verifies compatibility of files with OpenUSD versions and generates fully rendered and traced images via NVIDIA Omniverse Cloud

Additionally, NVIDIA has announced new tools for facilitating interoperability and advanced creation in various sectors, including:

* Connectors USD for robotic and industrial simulation data formats
* SDK OpenUSD Exchange: allows developers to create robust data connectors, available later this year on GitHub
* Scene diffusion tools for OpenUSD to Apple Vision Pro via NVIDIA's graphics rendering network

NVIDIA's innovations promise to accelerate the adoption of AI and simulation in a wide range of industries, opening the door to more realistic virtual worlds and unprecedented innovations. The company has also partnered with various organizations, including Foxconn, WPP, and Siemens, to integrate OpenUSD and NIM into their pipelines and workflows.

Overall, NVIDIA's advancements in OpenUSD and NIM aim to revolutionize the way industries create and interact with 3D content, enabling faster and more efficient development of virtual worlds and physical robots.";"Here is a detailed and concise summary of the content:

NVIDIA has unveiled significant advancements in the field of Universal Scene Description (OpenUSD), a universal data exchange framework for 3D content. At the SIGGRAPH 2024 conference, NVIDIA announced new tools and microservices, NIM (NVIDIA Intelligent Modeling), designed to accelerate the adoption of OpenUSD in industries such as robotics, industrial design, and engineering. OpenUSD is an open and extensible ecosystem created by Pixar Animation Studio, allowing for the description, composition, simulation, and collaboration of 3D scenes.

The new microservices, NIM, enable developers to integrate AI-generated copilots and agents into USD workflows, accelerating the adoption of OpenUSD in various industrial sectors. The microservices include:

* USD Code NIM: generates OpenUSD-Python code from text-based invites
* USD Search NIM: allows developers to search massive libraries of OpenUSD, 3D, and image data using natural language or image inputs
* USD Validate NIM: verifies compatibility of files with OpenUSD versions and generates fully rendered and traced images via NVIDIA Omniverse Cloud

Additionally, NVIDIA has announced new tools for facilitating interoperability and advanced creation in various sectors, including:

* Connectors USD for robotic and industrial simulation data formats
* SDK OpenUSD Exchange: allows developers to create robust data connectors, available later this year on GitHub
* Scene diffusion tools for OpenUSD to Apple Vision Pro via NVIDIA's graphics rendering network

NVIDIA's innovations promise to accelerate the adoption of AI and simulation in a wide range of industries, opening the door to more realistic virtual worlds and unprecedented innovations. The company has also partnered with various organizations, including Foxconn, WPP, and Siemens, to integrate OpenUSD and NIM into their pipelines and workflows.

Overall, NVIDIA's advancements in OpenUSD and NIM aim to revolutionize the way industries create and interact with 3D content, enabling faster and more efficient development of virtual worlds and physical robots.";https://www.actuia.com/actualite/siggraph-nvidia-devoile-de-nouveaux-outils-et-microservices-nim-pour-lopenusd/
Segment Anything Model 2 : le dernier modèle de vision par ordinateur de Meta étend les capacités de segmentation de SAM aux vidéos;2024-07-31;"Meta a récemment publié Segment Anything Model 2 (SAM 2), un modèle de vision par ordinateur conçu pour la segmentation d'objets dans les vidéos, qui étend les capacités de son prédécesseur SAM aux images. SAM 2 est disponible sous licence Apache 2.0 et est accompagné d'un dataset SA-V, également disponible sous CC BY 4.0.

Ce modèle a été entraîné pour la segmentation d'objets dans les vidéos et peut être utilisé pour une variété d'applications, telles que la retouche de photos, l'analyse d'images scientifiques et la surveillance vidéo. SAM 2 a dépassé les capacités des modèles précédents en termes de précision et de rapidité, et permet la généralisation zero-shot, ce qui signifie qu'il peut segmenter des objets dans des contenus visuels inédits sans adaptation personnalisée.

SAM 2 utilise une architecture unifiée pour les images et les vidéos, qui introduit un mécanisme de mémoire pour rappeler les informations traitées précédemment et générer des prédictions de masques précises. Le modèle peut être entraîné à utiliser des invites d'entrée pour définir le masque spatio-temporel à prédire, et peut être affiné itérativement avec des invites supplémentaires jusqu'à obtention du masquelet souhaité.

L'ensemble de données SA-V, qui comprend plus de 600 000 annotations de masques sur environ 51 000 vidéos, a été collecté et annoté pour améliorer le modèle. Les résultats de SAM 2 montrent une précision de segmentation supérieure et une rapidité d'annotation de segmentation vidéo 8,4 fois plus rapide que l'annotation manuelle par image.

Bien que SAM 2 démontre des performances solides, des améliorations peuvent encore être apportées, notamment pour améliorer la précision de segmentation d'objets similaires et réduire la perte de suivi. Le modèle est conçu pour être interactif, permettant des interventions manuelles pour récupérer des objets cibles en cas de perte de suivi.";"Meta a récemment publié Segment Anything Model 2 (SAM 2), un modèle de vision par ordinateur conçu pour la segmentation d'objets dans les vidéos, qui étend les capacités de son prédécesseur SAM aux images. SAM 2 est disponible sous licence Apache 2.0 et est accompagné d'un dataset SA-V, également disponible sous CC BY 4.0.

Ce modèle a été entraîné pour la segmentation d'objets dans les vidéos et peut être utilisé pour une variété d'applications, telles que la retouche de photos, l'analyse d'images scientifiques et la surveillance vidéo. SAM 2 a dépassé les capacités des modèles précédents en termes de précision et de rapidité, et permet la généralisation zero-shot, ce qui signifie qu'il peut segmenter des objets dans des contenus visuels inédits sans adaptation personnalisée.

SAM 2 utilise une architecture unifiée pour les images et les vidéos, qui introduit un mécanisme de mémoire pour rappeler les informations traitées précédemment et générer des prédictions de masques précises. Le modèle peut être entraîné à utiliser des invites d'entrée pour définir le masque spatio-temporel à prédire, et peut être affiné itérativement avec des invites supplémentaires jusqu'à obtention du masquelet souhaité.

L'ensemble de données SA-V, qui comprend plus de 600 000 annotations de masques sur environ 51 000 vidéos, a été collecté et annoté pour améliorer le modèle. Les résultats de SAM 2 montrent une précision de segmentation supérieure et une rapidité d'annotation de segmentation vidéo 8,4 fois plus rapide que l'annotation manuelle par image.

Bien que SAM 2 démontre des performances solides, des améliorations peuvent encore être apportées, notamment pour améliorer la précision de segmentation d'objets similaires et réduire la perte de suivi. Le modèle est conçu pour être interactif, permettant des interventions manuelles pour récupérer des objets cibles en cas de perte de suivi.";https://www.actuia.com/actualite/segment-anything-model-2-le-dernier-modele-de-vision-par-ordinateur-de-meta-etend-les-capacites-de-segmentation-de-sam-aux-videos/
Stefanini Group ouvre un centre d’excellence en IA aux Etats-Unis;2024-07-30;"Voici un résumé détaillé et concis du contenu :

Stefanini Group, un leader dans les solutions numériques, a récemment ouvert un centre d'excellence en Intelligence Artificielle (IA) à Southfield, Michigan, aux États-Unis. Ce centre innovant vise à développer et à implémenter des solutions d'IA pour améliorer la productivité interne et répondre aux besoins diversifiés de ses clients à l'échelle mondiale. Fondée en 1987, Stefanini Group est une multinationale de premier plan spécialisée dans les solutions numériques et technologiques, opérant dans 41 pays avec un chiffre d'affaires dépassant le milliard de dollars.

Le centre d'excellence en IA est une étape importante dans la stratégie d'innovation continue de l'entreprise, qui investit dans l'IA depuis plus de 15 ans. Avec une équipe mondiale de 400 employés dédiés exclusivement aux solutions d'IA, Stefanini entend répondre à la demande croissante de ses clients, notamment ceux de la Région EMEA. Le centre à Southfield est doté d'une équipe dédiée de 30 experts en IA qui se concentre sur la recherche de pointe sur l'IA et la mise en œuvre de solutions pratiques pour chaque industrie.

L'ouverture du centre d'excellence en IA a été célébrée avec l'AI Appreciation Day et la présentation de solutions d'IA sur le célèbre panneau d'affichage du NASDAQ à Times Square, New York. Cette initiative permettra à Stefanini Group de créer des outils d'IA qui libèrent les gens pour un travail plus créatif, en répondant à la demande croissante de ses clients et en consolidant sa position de leader dans le secteur des services technologiques.";"Voici un résumé détaillé et concis du contenu :

Stefanini Group, un leader dans les solutions numériques, a récemment ouvert un centre d'excellence en Intelligence Artificielle (IA) à Southfield, Michigan, aux États-Unis. Ce centre innovant vise à développer et à implémenter des solutions d'IA pour améliorer la productivité interne et répondre aux besoins diversifiés de ses clients à l'échelle mondiale. Fondée en 1987, Stefanini Group est une multinationale de premier plan spécialisée dans les solutions numériques et technologiques, opérant dans 41 pays avec un chiffre d'affaires dépassant le milliard de dollars.

Le centre d'excellence en IA est une étape importante dans la stratégie d'innovation continue de l'entreprise, qui investit dans l'IA depuis plus de 15 ans. Avec une équipe mondiale de 400 employés dédiés exclusivement aux solutions d'IA, Stefanini entend répondre à la demande croissante de ses clients, notamment ceux de la Région EMEA. Le centre à Southfield est doté d'une équipe dédiée de 30 experts en IA qui se concentre sur la recherche de pointe sur l'IA et la mise en œuvre de solutions pratiques pour chaque industrie.

L'ouverture du centre d'excellence en IA a été célébrée avec l'AI Appreciation Day et la présentation de solutions d'IA sur le célèbre panneau d'affichage du NASDAQ à Times Square, New York. Cette initiative permettra à Stefanini Group de créer des outils d'IA qui libèrent les gens pour un travail plus créatif, en répondant à la demande croissante de ses clients et en consolidant sa position de leader dans le secteur des services technologiques.";https://www.actuia.com/actualite/stefanini-group-ouvre-un-centre-dexcellence-en-ia-aux-etats-unis/
OpenAI propose un fine-tuning gratuit pour GPT-4o mini pendant deux mois;2024-07-30;"Voici un résumé détaillé et concis du contenu :

OpenAI a lancé une offre de fine-tuning gratuit pour son modèle de langage LLM, GPT-4o mini, pendant deux mois, à partir du 23 juillet. Ce modèle est présenté comme le plus rentable de ses modèles, avec un faible coût et une faible latence, ce qui le rend particulièrement adapté aux scénarios enchaînant ou parallélisant plusieurs appels de modèle. Les développeurs et entreprises peuvent entraîner gratuitement GPT-4o mini sur des données supplémentaires pour l'adapter à leurs besoins spécifiques, avec une limite quotidienne de 2 millions de jetons d'entraînement. Les frais de 3 $ par million de jetons supplémentaires seront appliqués pour ceux qui dépassent cette limite.

L'offre est initialement réservée aux niveaux 4 et 5 des plans d'utilisation d'OpenAI, destinés à des entreprises et des organisations ayant des besoins importants et un volume élevé de requêtes. Cependant, OpenAI propose aux trois premiers niveaux prochainement. Pour profiter de cette offre, les développeurs doivent se connecter à leur tableau de bord de fine-tuning sur la plateforme OpenAI, cliquer sur ""créer"", sélectionner GPT-4o mini dans le menu déroulant des modèles de fondation, et suivre les étapes du fine-tuning. OpenAI propose un guide dédié aux étapes du fine-tuning pour les non-initiés. Cette offre est valable jusqu'au 24 septembre, date à laquelle le fine-tuning reviendra à 3 $ pour chaque million de jetons d'entraînement.";"Voici un résumé détaillé et concis du contenu :

OpenAI a lancé une offre de fine-tuning gratuit pour son modèle de langage LLM, GPT-4o mini, pendant deux mois, à partir du 23 juillet. Ce modèle est présenté comme le plus rentable de ses modèles, avec un faible coût et une faible latence, ce qui le rend particulièrement adapté aux scénarios enchaînant ou parallélisant plusieurs appels de modèle. Les développeurs et entreprises peuvent entraîner gratuitement GPT-4o mini sur des données supplémentaires pour l'adapter à leurs besoins spécifiques, avec une limite quotidienne de 2 millions de jetons d'entraînement. Les frais de 3 $ par million de jetons supplémentaires seront appliqués pour ceux qui dépassent cette limite.

L'offre est initialement réservée aux niveaux 4 et 5 des plans d'utilisation d'OpenAI, destinés à des entreprises et des organisations ayant des besoins importants et un volume élevé de requêtes. Cependant, OpenAI propose aux trois premiers niveaux prochainement. Pour profiter de cette offre, les développeurs doivent se connecter à leur tableau de bord de fine-tuning sur la plateforme OpenAI, cliquer sur ""créer"", sélectionner GPT-4o mini dans le menu déroulant des modèles de fondation, et suivre les étapes du fine-tuning. OpenAI propose un guide dédié aux étapes du fine-tuning pour les non-initiés. Cette offre est valable jusqu'au 24 septembre, date à laquelle le fine-tuning reviendra à 3 $ pour chaque million de jetons d'entraînement.";https://www.actuia.com/actualite/openai-propose-un-fine-tuning-gratuit-pour-gpt-4o-mini-pendant-deux-mois/
Mistral Large 2 : des capacités de génération de code, en mathématiques et en raisonnement de pointe;2024-07-29;"Voici un résumé détaillé et concis du contenu :

Mistral Large 2 est la deuxième génération du modèle linguistique phare de Mistral AI, qui vise à améliorer les capacités de génération de code, de mathématiques et de raisonnement. Selon la start-up, ce modèle est nettement plus performant que son prédécesseur, avec des capacités de génération de code, de mathématiques et de raisonnement plus avancées. Il peut prendre en charge plus de 80 langages de programmation, dont Python, Java, C, C++ et JavaScript, et est conçu pour des applications complexes nécessitant une inférence à nœud unique et une gestion efficace des contextes longs.

Mistral Large 2 a été entraîné sur une large quantité de code et surpasse largement son prédécesseur, avec des performances égales à celles de modèles de premier plan tels que GPT-4o, Claude 3 Opus et Llama 3 405B. Il atteint une précision de 84,0 % sur le benchmark pré-entraîné, établissant un nouveau standard de performance/coût. Le modèle a également été conçu pour minimiser les ""hallucinations"" et offrir des réponses fiables et précises.

En outre, Mistral Large 2 présente des améliorations significatives en matière de suivi des instructions et de gestion des conversations longues, ce qui le rend particulièrement adapté pour des applications commerciales nécessitant des réponses succinctes et précises. Il est également disponible via la Plateforme de la start-up, ainsi que sur les plateformes Google Cloud Platform, Azure AI Studio, Amazon Bedrock et IBM watsonx.ai.

En résumé, Mistral Large 2 est un modèle linguistique phare qui vise à améliorer les capacités de génération de code, de mathématiques et de raisonnement, avec des performances égales à celles de modèles de premier plan et des améliorations significatives en matière de suivi des instructions et de gestion des conversations longues.";"Voici un résumé détaillé et concis du contenu :

Mistral Large 2 est la deuxième génération du modèle linguistique phare de Mistral AI, qui vise à améliorer les capacités de génération de code, de mathématiques et de raisonnement. Selon la start-up, ce modèle est nettement plus performant que son prédécesseur, avec des capacités de génération de code, de mathématiques et de raisonnement plus avancées. Il peut prendre en charge plus de 80 langages de programmation, dont Python, Java, C, C++ et JavaScript, et est conçu pour des applications complexes nécessitant une inférence à nœud unique et une gestion efficace des contextes longs.

Mistral Large 2 a été entraîné sur une large quantité de code et surpasse largement son prédécesseur, avec des performances égales à celles de modèles de premier plan tels que GPT-4o, Claude 3 Opus et Llama 3 405B. Il atteint une précision de 84,0 % sur le benchmark pré-entraîné, établissant un nouveau standard de performance/coût. Le modèle a également été conçu pour minimiser les ""hallucinations"" et offrir des réponses fiables et précises.

En outre, Mistral Large 2 présente des améliorations significatives en matière de suivi des instructions et de gestion des conversations longues, ce qui le rend particulièrement adapté pour des applications commerciales nécessitant des réponses succinctes et précises. Il est également disponible via la Plateforme de la start-up, ainsi que sur les plateformes Google Cloud Platform, Azure AI Studio, Amazon Bedrock et IBM watsonx.ai.

En résumé, Mistral Large 2 est un modèle linguistique phare qui vise à améliorer les capacités de génération de code, de mathématiques et de raisonnement, avec des performances égales à celles de modèles de premier plan et des améliorations significatives en matière de suivi des instructions et de gestion des conversations longues.";https://www.actuia.com/actualite/mistral-large-2-des-capacites-de-generation-de-code-en-mathematiques-et-en-raisonnement-de-pointe/
Le Forum Européen de l’IA lance un appel à candidatures pour les “European AI Awards 2024”;2024-07-29;"Le Forum Européen de l'Intelligence Artificielle (European AI Forum ou EAIF) a lancé un appel à candidatures pour les ""European AI Awards 2024"", un événement qui vise à récompenser les entreprises, les chercheurs et les experts en IA qui contribuent de manière significative à l'évolution de l'IA en Europe. L'EAIF est une association internationale sans but lucratif basée à Bruxelles, créée en 2020, qui vise à donner voix au chapitre aux start-ups et aux innovateurs des États membres de l'Union européenne.

Les objectifs des European AI Awards sont de soutenir l'innovation en Europe en promouvant les initiatives IA locales, de présenter l'écosystème IA européen en mettant en lumière les meilleures pratiques et les réussites notables, de stimuler les discussions sur l'état actuel et futur de l'IA en Europe, d'encourager la coopération entre différents acteurs, y compris les entreprises, les chercheurs, et les décideurs politiques, et de promouvoir la R&D et le financement des innovations en IA.

Les candidatures sont ouvertes à toutes les entités ou individus qui remplissent les conditions suivantes : avoir un statut juridique complet et une pleine capacité juridique, être basé ou opérer en Europe, avec une exclusion spécifique des entités de Russie et de Biélorussie. Les candidatures doivent être soumises via le formulaire disponible sur le site officiel des Awards avant la date limite du 31 octobre 2024.

Les candidatures seront évaluées par un jury d'experts renommés, qui analysera chaque candidature sur la base de critères stricts d'innovation, d'impact et de contribution à l'écosystème IA. Les lauréats seront annoncés en décembre 2024 lors de la 10ème conférence EAIF et recevront entre autres un titre officiel, une distinction sous forme de diplôme, trophée ou autre, et une visibilité accrue au sein de la communauté IA européenne et internationale.";"Le Forum Européen de l'Intelligence Artificielle (European AI Forum ou EAIF) a lancé un appel à candidatures pour les ""European AI Awards 2024"", un événement qui vise à récompenser les entreprises, les chercheurs et les experts en IA qui contribuent de manière significative à l'évolution de l'IA en Europe. L'EAIF est une association internationale sans but lucratif basée à Bruxelles, créée en 2020, qui vise à donner voix au chapitre aux start-ups et aux innovateurs des États membres de l'Union européenne.

Les objectifs des European AI Awards sont de soutenir l'innovation en Europe en promouvant les initiatives IA locales, de présenter l'écosystème IA européen en mettant en lumière les meilleures pratiques et les réussites notables, de stimuler les discussions sur l'état actuel et futur de l'IA en Europe, d'encourager la coopération entre différents acteurs, y compris les entreprises, les chercheurs, et les décideurs politiques, et de promouvoir la R&D et le financement des innovations en IA.

Les candidatures sont ouvertes à toutes les entités ou individus qui remplissent les conditions suivantes : avoir un statut juridique complet et une pleine capacité juridique, être basé ou opérer en Europe, avec une exclusion spécifique des entités de Russie et de Biélorussie. Les candidatures doivent être soumises via le formulaire disponible sur le site officiel des Awards avant la date limite du 31 octobre 2024.

Les candidatures seront évaluées par un jury d'experts renommés, qui analysera chaque candidature sur la base de critères stricts d'innovation, d'impact et de contribution à l'écosystème IA. Les lauréats seront annoncés en décembre 2024 lors de la 10ème conférence EAIF et recevront entre autres un titre officiel, une distinction sous forme de diplôme, trophée ou autre, et une visibilité accrue au sein de la communauté IA européenne et internationale.";https://www.actuia.com/actualite/le-forum-europeen-de-lia-lance-un-appel-a-candidatures-pour-les-european-ai-awards-2024/
IA juridique :  LexisNexis finalise l’acquisition de la start-up Henchman;2024-07-26;"Here is a detailed and concise summary of the content:

LexisNexis, a global leader in legal information and analysis, has finalized the acquisition of Henchman, a Belgian startup specialized in document management systems (DMS) using artificial intelligence (AI). The acquisition aims to accelerate the negotiation and drafting of complex contracts. Henchman, founded in 2020, has over 170 international clients, including major law firms and companies in Europe and the US. The startup has received the ""Product of the Year"" award at the ALM Legal Innovation Technology Awards 2024.

The acquisition will enable LexisNexis to integrate Henchman's advanced technology into its own AI-powered tools, Lexis+ AI and Lexis Create, allowing clients to extract information quickly from internal databases. The combined efforts will help clients produce high-quality legal work more efficiently using AI-generated solutions rich in internal data and LexisNexis content.

LexisNexis develops its AI-powered solutions with rigorous human oversight, following the RELX group's responsible AI principles, to ensure that its solutions are unbiased and do not discriminate. The company is committed to ensuring the responsible use of AI, particularly in the legal field.

Lexis+ AI is a powerful and reliable solution that simplifies legal research, which was launched in the US last year and in France in March. The solution is based on LexisNexis' proprietary Retrieval Augmented Generation 2.0 (RAG 2.0) platform, providing features such as conversational search, intelligent legal writing, summarization, and document downloading, all supported by advanced encryption and confidentiality technologies.

The integration of Henchman's technology will enable Lexis+ AI to become the first AI-powered tool to benefit from Henchman's technology. The combined efforts will enable clients to make more informed decisions, generate exceptional work, and create economic value for their organizations.";"Here is a detailed and concise summary of the content:

LexisNexis, a global leader in legal information and analysis, has finalized the acquisition of Henchman, a Belgian startup specialized in document management systems (DMS) using artificial intelligence (AI). The acquisition aims to accelerate the negotiation and drafting of complex contracts. Henchman, founded in 2020, has over 170 international clients, including major law firms and companies in Europe and the US. The startup has received the ""Product of the Year"" award at the ALM Legal Innovation Technology Awards 2024.

The acquisition will enable LexisNexis to integrate Henchman's advanced technology into its own AI-powered tools, Lexis+ AI and Lexis Create, allowing clients to extract information quickly from internal databases. The combined efforts will help clients produce high-quality legal work more efficiently using AI-generated solutions rich in internal data and LexisNexis content.

LexisNexis develops its AI-powered solutions with rigorous human oversight, following the RELX group's responsible AI principles, to ensure that its solutions are unbiased and do not discriminate. The company is committed to ensuring the responsible use of AI, particularly in the legal field.

Lexis+ AI is a powerful and reliable solution that simplifies legal research, which was launched in the US last year and in France in March. The solution is based on LexisNexis' proprietary Retrieval Augmented Generation 2.0 (RAG 2.0) platform, providing features such as conversational search, intelligent legal writing, summarization, and document downloading, all supported by advanced encryption and confidentiality technologies.

The integration of Henchman's technology will enable Lexis+ AI to become the first AI-powered tool to benefit from Henchman's technology. The combined efforts will enable clients to make more informed decisions, generate exceptional work, and create economic value for their organizations.";https://www.actuia.com/actualite/ia-juridique-lexisnexis-finalise-lacquisition-de-la-start-up-henchman/
SearchGPT : L’IA qui redéfinit la recherche sur Internet;2024-07-26;"Voici un résumé détaillé et concis du contenu :

SearchGPT est un prototype de recherche par intelligence artificielle (IA) développé par OpenAI, en collaboration avec Microsoft, pour améliorer les résultats de recherche sur Internet. Grâce à des modèles conversationnels de pointe et des données web en temps réel, SearchGPT vise à fournir des réponses rapides, précises et pertinentes aux questions des utilisateurs. Il se présente sous la forme d'une interface similaire à ChatGPT, proposant des résumés concis avec des liens d'attribution, ainsi qu'une barre latérale affichant des liens pertinents supplémentaires.

Pour garantir la qualité et la fiabilité des informations fournies, OpenAI a noué des collaborations avec des organismes de presse tels que The Associated Press, The Atlantic et News Corp. Ces partenariats permettent aux éditeurs de mieux contrôler la présentation de leur contenu dans les résultats de recherche et de choisir de ne pas voir leur contenu utilisé pour l'entraînement des modèles d'IA d'OpenAI. Le prototype de SearchGPT est actuellement accessible à un groupe restreint d'utilisateurs et d'éditeurs, et les commentaires recueillis permettront à OpenAI de l'améliorer et d'intégrer les meilleures fonctionnalités de SearchGPT à ChatGPT.";"Voici un résumé détaillé et concis du contenu :

SearchGPT est un prototype de recherche par intelligence artificielle (IA) développé par OpenAI, en collaboration avec Microsoft, pour améliorer les résultats de recherche sur Internet. Grâce à des modèles conversationnels de pointe et des données web en temps réel, SearchGPT vise à fournir des réponses rapides, précises et pertinentes aux questions des utilisateurs. Il se présente sous la forme d'une interface similaire à ChatGPT, proposant des résumés concis avec des liens d'attribution, ainsi qu'une barre latérale affichant des liens pertinents supplémentaires.

Pour garantir la qualité et la fiabilité des informations fournies, OpenAI a noué des collaborations avec des organismes de presse tels que The Associated Press, The Atlantic et News Corp. Ces partenariats permettent aux éditeurs de mieux contrôler la présentation de leur contenu dans les résultats de recherche et de choisir de ne pas voir leur contenu utilisé pour l'entraînement des modèles d'IA d'OpenAI. Le prototype de SearchGPT est actuellement accessible à un groupe restreint d'utilisateurs et d'éditeurs, et les commentaires recueillis permettront à OpenAI de l'améliorer et d'intégrer les meilleures fonctionnalités de SearchGPT à ChatGPT.";https://www.actuia.com/actualite/searchgpt-lia-qui-redefinit-la-recherche-sur-internet/
Generating audio for video;2024-07-25;"The document discusses the development of a video-to-audio (V2A) technology, which enables the generation of rich soundtracks for silent videos. This technology combines video pixels with natural language text prompts to create synchronized audiovisual content. The V2A system uses a diffusion-based approach to generate audio, which refines the audio from random noise and is guided by the visual input and natural language prompts. The technology can generate an unlimited number of soundtracks for any video input, allowing for enhanced creative control. Additionally, users can define positive or negative prompts to guide the generated output towards desired or undesired sounds.

The document highlights the advantages of this technology, including its ability to generate realistic and compelling audio that closely aligns with the prompt, and its potential to bring generated movies to life. However, it also acknowledges some limitations, such as the dependence of audio quality on video quality and the need for further research to improve lip synchronization and address potential misuse.

The authors emphasize their commitment to developing and deploying AI technologies responsibly, gathering diverse perspectives and insights from leading creators and filmmakers, and incorporating their SynthID toolkit to watermark all AI-generated content. They also emphasize the need for rigorous safety assessments and testing before making the technology available to the wider public. Overall, the document presents a promising approach for generating audio for video, with potential applications in the creative industry and beyond.";"Le document discute du développement d'une technologie vidéo-à-audio (V2A), qui permet la création de bandes sonores riches pour les vidéos silencieuses. Cette technologie associe les pixels de la vidéo à des prompts de texte en langue naturelle pour créer du contenu audiovisuel synchronisé. Le système V2A utilise une approche basée sur la diffusion pour générer de l'audio, qui raffine le bruit aléatoire et est guidée par l'entrée visuelle et les prompts en langage naturel. La technologie peut générer un nombre illimité de pistes sonores pour toute entrée vidéo, permettant un meilleur contrôle créatif. De plus, les utilisateurs peuvent définir des prompts positifs ou négatifs pour guider la sortie générée vers des sons désirés ou indésirables.

Le document met en évidence les avantages de cette technologie, y compris sa capacité à générer un audio réaliste et convaincant qui correspond étroitement au prompt, et son potentiel pour donner vie aux films générés. Cependant, il reconnaît également certaines limitations, telles que la dépendance de la qualité audio à la qualité de la vidéo et le besoin de recherches supplémentaires pour améliorer la synchronisation des lèvres et aborder le potentiel d'abus.

Les auteurs soulignent leur engagement à développer et déployer des technologies IA de manière responsable, en rassemblant des perspectives et des insights de leaders créatifs et cinématographiques, et en intégrant leur kit d'outils SynthID pour marquer tous les contenus générés par IA. Ils soulignent également l'importance de tests de sécurité rigoureux et d'évaluations avant de rendre la technologie disponible au public. Globalement, le document présente une approche prometteuse pour la génération d'audio pour les vidéos, avec des applications potentielles dans l'industrie créative et au-delà.";https://deepmind.google/discover/blog/generating-audio-for-video/
NVIDIA AI Foundry intègre Llama 3.1 pour aider les entreprises à créer des modèles personnalisés;2024-07-25;"Voici un résumé détaillé et concis du contenu :

NVIDIA a lancé un nouveau service appelé NVIDIA AI Foundry qui permet aux entreprises de créer des modèles d'intelligence artificielle (IA) personnalisés en utilisant les données propriétaires et des données synthétiques générées par la famille Llama 3.1 et le modèle NVIDIA Nemotron. Ce service intègre la curation, la génération de données synthétiques, le réglage fin, la récupération, les garde-fous et l'évaluation pour déployer des microservices NVIDIA NIM Llama 3.1 personnalisés. Les entreprises peuvent utiliser ce service pour personnaliser les modèles communautaires, y compris la nouvelle collection Llama 3.1 et NVIDIA Nemotron, ainsi que d'autres modèles.

Le service AI Foundry utilise des données d'entreprise et des données synthétiques pour augmenter et modifier les connaissances générales contenues dans un modèle de fondation pré-entraîné. Les modèles personnalisés sont générés en tant que microservices d'inférence NIM de la plateforme NVIDIA AI Enterprise 5.0, qui permettent une exécution rapide et efficace des modèles d'IA en production. Les développeurs utilisent l'API standard du NIM pour créer des applications génératives alimentées par l'IA.

Les premiers clients à utiliser les nouveaux microservices Llama NVIDIA NIM sont Accenture, Aramco, AT&T et Uber. Le service AI Foundry permet aux entreprises de créer des modèles d'IA personnalisés avec des données propriétaires et des données synthétiques, ce qui leur permet d'améliorer leurs performances et de répondre de manière plus efficace à leurs besoins spécifiques.";"Voici un résumé détaillé et concis du contenu :

NVIDIA a lancé un nouveau service appelé NVIDIA AI Foundry qui permet aux entreprises de créer des modèles d'intelligence artificielle (IA) personnalisés en utilisant les données propriétaires et des données synthétiques générées par la famille Llama 3.1 et le modèle NVIDIA Nemotron. Ce service intègre la curation, la génération de données synthétiques, le réglage fin, la récupération, les garde-fous et l'évaluation pour déployer des microservices NVIDIA NIM Llama 3.1 personnalisés. Les entreprises peuvent utiliser ce service pour personnaliser les modèles communautaires, y compris la nouvelle collection Llama 3.1 et NVIDIA Nemotron, ainsi que d'autres modèles.

Le service AI Foundry utilise des données d'entreprise et des données synthétiques pour augmenter et modifier les connaissances générales contenues dans un modèle de fondation pré-entraîné. Les modèles personnalisés sont générés en tant que microservices d'inférence NIM de la plateforme NVIDIA AI Enterprise 5.0, qui permettent une exécution rapide et efficace des modèles d'IA en production. Les développeurs utilisent l'API standard du NIM pour créer des applications génératives alimentées par l'IA.

Les premiers clients à utiliser les nouveaux microservices Llama NVIDIA NIM sont Accenture, Aramco, AT&T et Uber. Le service AI Foundry permet aux entreprises de créer des modèles d'IA personnalisés avec des données propriétaires et des données synthétiques, ce qui leur permet d'améliorer leurs performances et de répondre de manière plus efficace à leurs besoins spécifiques.";https://www.actuia.com/actualite/nvidia-ai-foundry-integre-llama-3-1-pour-aider-les-entreprises-a-creer-des-modeles-personnalises/
