titre;date;resume;resume_tr;url
Adapting Safe-for-Work Classifier for Malaysian Language Text: Enhancing Alignment in LLM-Ops Framework;2024-07-30;"Here is a concise and accurate summary of the document:

The document presents a novel Safe-for-Work (SFW) text classifier specifically designed for Malaysian language content to ensure safe and aligned interactions in large language model operations (LLM-Ops) framework. The classifier is trained on a curated and annotated dataset of Malaysian text, spanning multiple content categories, including harmful and inappropriate content, using state-of-the-art natural language processing techniques. The dataset was collected from various sources and annotated using a combination of manual labeling, knowledge distillation from large language models, and centroid-based filtering. The classifier is evaluated on its performance in identifying harmful and inappropriate content and shows promising results. The document highlights the importance of developing responsible and ethical language models, particularly in the context of Malaysian language, and presents the SFW classifier as a valuable tool for AI safety and content moderation. The approach is publicly released to promote further research and enhance the quality of the dataset.";"Voici un résumé concis et précis du document :

Le document présente un nouveau classeur de texte Safe-for-Work (SFW) conçu spécifiquement pour le contenu en langue malaisienne afin de garantir des interactions sûres et alignées dans le cadre des grandes opérations de modèles linguistiques (LLM-Ops). Le classeur est formé à partir d'un ensemble de données annotées de contenu en langue malaisienne, couvrant plusieurs catégories de contenu, y compris du contenu nuisible et inapproprié, en utilisant des techniques d'intelligence artificielle de pointe. L'ensemble de données a été collecté à partir de diverses sources et annoté à l'aide d'une combinaison d'étiquetage manuel, de distillation de connaissances à partir de grands modèles linguistiques et de filtrage basé sur les centres. Le classeur est évalué en fonction de sa performance pour identifier le contenu nuisible et inapproprié et montre des résultats prometteurs. Le document met en évidence l'importance de développer des modèles linguistiques responsables et éthiques, en particulier dans le contexte de la langue malaisienne, et présente le classeur SFW comme un outil précieux pour la sécurité de l'IA et la modération du contenu. L'approche est rendue publique afin de promouvoir davantage la recherche et d'améliorer la qualité de l'ensemble de données.";https://arxiv.org/pdf/2407.20729
Large Language Model (LLM)-enabled Graphs in Dynamic Networking;2024-07-30;"The document explores the intersection of Large Language Models (LLMs) and graphs, highlighting the potential advantages of integrating these technologies in dynamic networking. Key ideas include the ability of LLMs to enhance graph analysis by analyzing textual descriptions or annotations associated with nodes and edges, and the potential for LLM-enabled graphs to provide a powerful framework for gaining deeper insights into complex systems. Graphs are essential data structures used to represent complex relationships and structures, with applications in biology, social networks, and computer science. However, traditional graph analysis methods, such as Transformers and Graph Neural Networks (GNNs), have limitations when dealing with dynamic or evolving networks.

The document also delves into the applications of LLM-enabled graphs in various domains, including molecule design, e-commerce, and dynamic networks. For instance, LLMs can generate new compounds with similar structures to existing molecules in molecule design, optimize product advertisement and recommendation in e-commerce, and handle complex graph patterns, understand and process time-series data, and embed learning for nodes and edges in dynamic networks. Additionally, the integration of LLMs with GNNs can enhance the capabilities of LLMs in graph-related tasks.

The proposed framework, LLM-enabled graphs, consists of five layers: input layer, graph-to-text layer, decision layer, text-to-graph layer, and output layer. The framework is designed to optimize the performance of Unmanned Aerial Vehicle (UAV) networks by optimizing the UAV's trajectory and communication resource allocation. The document also highlights the potential benefits and challenges of combining GNNs and LLMs for representation learning on textual graphs.

In conclusion, the document presents a comprehensive overview of the applications and potential benefits of integrating LLMs with graphs in dynamic networking. The proposed framework offers a novel approach to optimizing the performance of UAV networks, and the combination of GNNs and LLMs has the potential to revolutionize the field of representation learning on textual graphs.";"Le document explore la convergence entre les grands modèles linguistiques (LLMs) et les graphes, mettant en évidence les avantages potentiels de l'intégration de ces technologies dans les réseaux dynamiques. Les idées clés incluent la capacité des LLMs à améliorer l'analyse de graphes en analysant les descriptions ou annotations textuelles associées aux nœuds et aux arêtes, et le potentiel des graphes LLM-habilités pour fournir un cadre puissant pour obtenir des aperçus plus profonds sur les systèmes complexes. Les graphes sont des structures de données essentielles utilisées pour représenter des relations et des structures complexes, avec des applications dans la biologie, les réseaux sociaux et l'informatique. Cependant, les méthodes d'analyse de graphes traditionnelles, telles que les transformateurs et les réseaux neuronaux graphiques (GNNs), ont des limitations lorsqu'elles sont confrontées à des réseaux dynamiques ou évolutifs.

Le document aborde également les applications des graphes LLM-habilités dans divers domaines, tels que la conception de molécules, le commerce électronique et les réseaux dynamiques. Par exemple, les LLMs peuvent générer de nouvelles molécules présentant des structures similaires à celles des molécules existantes dans la conception de molécules, optimiser la publicité et les recommandations de produits dans le commerce électronique, et gérer des schémas de graphes complexes, comprendre et traiter des données temporelles, et intégrer l'apprentissage pour les nœuds et les arêtes dans les réseaux dynamiques. De plus, l'intégration des LLMs avec les GNNs peut améliorer les capacités des LLMs dans les tâches liées aux graphes.

Le cadre proposé, les graphes LLM-habilités, se compose de cinq couches : la couche d'entrée, la couche de conversion de texte en graphe, la couche de prise de décision, la couche de conversion de texte en graphe et la couche de sortie. Le cadre est conçu pour optimiser les performances des réseaux de véhicules aériens sans pilote (UAV) en optimisant la trajectoire de l'UAV et l'allocation des ressources de communication. Le document souligne également les avantages potentiels et les défis associés à l'intégration des GNNs et des LLMs pour l'apprentissage de la représentation sur des graphes textuels.

En conclusion, le document présente une vue d'ensemble complète des applications et des avantages potentiels de l'intégration des LLMs avec les graphes dans les réseaux dynamiques. Le cadre proposé offre une approche novatrice pour optimiser les performances des réseaux d'UAVs, et l'intégration des GNNs et des LLMs a le potentiel de révolutionner le domaine de l'apprentissage de la représentation sur des graphes textuels.";https://arxiv.org/pdf/2407.20840
Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification;2024-07-30;"The document presents a comprehensive evaluation of the vulnerabilities of Large Language Model (LLM) agents to various attacks, with a focus on malfunction amplification and malicious attacks. The authors propose a novel attack method, malfunction amplification, which induces failure rates exceeding 80% in multiple scenarios by manipulating the agent's reasoning and randomness. The paper highlights the vulnerability of LLM agents in real-world applications, emphasizing the need for a thorough assessment of the risks associated with these advanced systems.

The authors introduce the concept of malfunction amplification, where the attack manipulates the agent's reasoning and randomness to induce failure. They present several attack methods, including prompt injection, and evaluate the effectiveness of each method across various dimensions, including attack types, methods, surfaces, and agent properties. The authors demonstrate the attack's potential to cause significant damage in multi-agent scenarios, where compromised agents can propagate failures to other agents.

The paper concludes that the proposed attack is difficult to detect using LLMs alone, highlighting the substantial risks associated with this vulnerability. The authors emphasize the need for more robust defense mechanisms and self-examination detection methods to mitigate these attacks. They underscore the importance of understanding the vulnerability of LLM agents and the need for thorough assessments of the risks associated with these advanced systems.

The primary purpose of the document is to identify and demonstrate a new type of attack that compromises autonomous LLM agents, highlighting the vulnerability of these systems in real-world applications. The paper aims to provide a comprehensive understanding of the attack methods and their effectiveness, as well as to emphasize the need for more robust defense mechanisms and self-examination detection methods.

Overall, the document provides a thorough evaluation of the vulnerabilities of LLM agents to various attacks, highlighting the importance of robustness testing and evaluation of LLM agents in real-world scenarios. The results suggest that LLM agents are vulnerable to attacks, particularly infinite loop attacks, and emphasize the need for defense strategies, such as self-examination and malfunction detection, to mitigate these attacks.";"Le document présente une évaluation complète des vulnérabilités des agents de grands modèles linguistiques (LLM) aux différentes attaques, avec un accent particulier sur l'amplification des défaillances et les attaques malveillantes. Les auteurs proposent un nouveau type d'attaque, l'amplification des défaillances, qui provoque des taux d'échec dépassant 80% dans plusieurs scénarios en manipulant la raisonnement et la randomité de l'agent. Le papier met en évidence la vulnérabilité des agents LLM dans les applications du monde réel, soulignant l'importance d'une évaluation approfondie des risques associés à ces systèmes avancés.

Les auteurs introduisent le concept d'amplification des défaillances, où l'attaque manipule le raisonnement et la randomité de l'agent pour provoquer une défaillance. Ils présentent plusieurs méthodes d'attaque, y compris l'injection de prompt, et évaluent leur efficacité sur plusieurs dimensions, y compris les types d'attaques, les méthodes, les surfaces et les propriétés de l'agent. Les auteurs démontrent que l'attaque peut causer des dommages importants dans les scénarios multi-agents, où les agents compromis peuvent propager les défaillances à d'autres agents.

Le document conclut que l'attaque proposée est difficile à détecter uniquement à l'aide des LLM, mettant en évidence les risques substantiels associés à cette vulnérabilité. Les auteurs soulignent l'importance de comprendre la vulnérabilité des agents LLM et le besoin de méthodes de défense plus robustes et de méthodes de détection de l'auto-examen pour atténuer ces attaques. Ils soulignent l'importance de comprendre la vulnérabilité des agents LLM et le besoin d'évaluations approfondies des risques associés à ces systèmes avancés.

Le but principal du document est d'identifier et de démontrer un nouveau type d'attaque qui compromet les agents LLM autonomes, mettant en évidence la vulnérabilité de ces systèmes dans les applications du monde réel. Le papier vise à fournir une compréhension approfondie des méthodes d'attaque et de leur efficacité, ainsi qu'à souligner l'importance de méthodes de défense robustes et de détection de l'auto-examen.

En somme, le document fournit une évaluation approfondie des vulnérabilités des agents LLM aux différentes attaques, mettant en évidence l'importance des tests de robustesse et de l'évaluation des agents LLM dans des scénarios du monde réel. Les résultats suggèrent que les agents LLM sont vulnérables aux attaques, en particulier aux attaques à boucle infinie, et soulignent le besoin de stratégies de défense, telles que l'auto-examen et la détection des défaillances, pour atténuer ces attaques.";https://arxiv.org/pdf/2407.20859
Large Language Models (LLMs) for Semantic Communication in Edge-based IoT Networks;2024-07-30;"Here is a detailed and concise summary of the content:

The document explores the concept of semantic communication in Internet of Things (IoT) networks, highlighting the limitations of traditional communication systems. It proposes the integration of Large Language Models (LLMs) with Edge-based IoT systems to enable efficient communication and decision-making. The document emphasizes the benefits of LLMs, which can understand and generate human-like text, making them valuable tools for semantic communication. Edge computing can be used to process data locally, reducing latency and bandwidth usage. The integration of LLMs with IoT systems can create intelligent, user-friendly, efficient, and quick responsive systems, enabling real-time, context-aware responses and decisions.

The document discusses the challenges of using LLMs for semantic communication in IoT networks, particularly in handling heterogeneous data. It proposes a framework for designing edge-based IoT systems that leverage LLMs, involving the integration of multiple techniques, such as multi-modal learning, data fusion, and semantic mapping. Ensuring data quality is crucial, and pre-processing methods like data cleaning, normalization, feature engineering, and anomaly detection are essential. Robust integration strategies like data aggregation and continuous monitoring are also necessary to maintain high-quality, reliable LLM outputs.

The authors conclude that semantic communication can leverage LLMs to enhance the efficiency of edge-based IoT systems, proposing a framework for designing such systems. They highlight the benefits of using LLMs for semantic communication in IoT networks, along with several practical use cases. The document aims to discuss the challenges of LLMs in handling heterogeneous IoT data and propose a framework for designing edge-based IoT systems that leverage LLMs for semantic communication.

Overall, the document provides a comprehensive overview of the concept of semantic communication in IoT networks, the advantages of using LLMs, and the challenges and benefits of integrating LLMs with IoT systems.";"Voici un aperçu détaillé et concis du contenu :

Le document explore le concept de communication sémantique dans les réseaux Internet des objets (IdO), mettant en évidence les limites des systèmes de communication traditionnels. Il propose l'intégration de modèles de langage à grande échelle (LLM) avec des systèmes IdO basés sur le Edge pour permettre une communication efficace et des prises de décision. Le document souligne les avantages des LLM, qui peuvent comprendre et générer du texte de manière humaine, les rendant des outils précieux pour la communication sémantique. Le Edge Computing peut être utilisé pour traiter les données localement, réduisant ainsi les temps de latence et l'utilisation de la bande passante. L'intégration des LLM avec les systèmes IdO peut créer des systèmes intelligents, convivaux pour l'utilisateur, efficaces et réactifs en temps réel, permettant des réponses et des décisions contextuelles et rapides.

Le document discute des défis liés à l'utilisation des LLM pour la communication sémantique dans les réseaux IdO, en particulier la gestion de données hétérogènes. Il propose un cadre pour la conception de systèmes IdO basés sur le Edge qui tirent parti des LLM, impliquant l'intégration de plusieurs techniques, telles que l'apprentissage multi-modal, la fusion de données et la cartographie sémantique. La garantie de la qualité des données est cruciale et des méthodes telles que le nettoyage des données, la normalisation, l'ingénierie des caractéristiques et la détection des anomalies sont essentielles. Des stratégies d'intégration robustes telles que l'agrégation des données et le monitoring continu sont également nécessaires pour maintenir des sorties de haute qualité et fiables des LLM.

Les auteurs concluent que la communication sémantique peut exploiter les LLM pour améliorer l'efficacité des systèmes IdO basés sur le Edge, proposant un cadre pour la conception de tels systèmes. Ils soulignent les avantages de l'utilisation des LLM pour la communication sémantique dans les réseaux IdO, ainsi que plusieurs cas d'utilisation pratiques. Le document vise à discuter des défis auxquels sont confrontés les LLM lors du traitement de données hétérogènes et à proposer un cadre pour la conception de systèmes IdO basés sur le Edge qui exploitent les LLM pour la communication sémantique.

En somme, le document fournit une vue d'ensemble complète du concept de communication sémantique dans les réseaux IdO, des avantages de l'utilisation des LLM et des défis et avantages de l'intégration des LLM avec les systèmes IdO.";https://arxiv.org/pdf/2407.20970
From Feature Importance to Natural Language Explanations Using LLMs with RAG;2024-07-30;"Here is a detailed and concise summary of the content:

The document proposes a novel approach to natural language explanations using Large Language Models (LLMs) and Retrieval-Augmented Generation (RAG) for explainable AI (XAI). The authors introduce a traceable question-answering methodology that leverages an external knowledge repository to inform LLM responses and provide human-understandable explanations for complex model outputs. The approach incorporates four key characteristics of human explanations: social, causal, selective, and contrastive, drawn from social science research. The authors use subtractive counterfactual reasoning to compute feature importance, analyzing output variations resulting from decomposing semantic features. They integrate the LLMs with the knowledge repository to generate natural language explanations that are both accurate and human-friendly. The approach is designed to bridge the gap between complex model outputs and user comprehension, making it more accessible for non-technical users. The document demonstrates the potential of LLMs as post-hoc explainers, showcasing their ability to provide natural language explanations for complex model outputs. The proposed methodology has the potential to advance the development of human-understandable explanations in various applications.

Please note that there are four different extracts provided, but the content seems to be related to Explainable AI (XAI) and Large Language Models (LLMs). The summary above captures the main theme and highlights of the document, providing a concise and accurate overview of the topic.";Le document propose une approche novatrice d'explications en langage naturel utilisant des modèles de langage large (LLM) et d'amélioration de la génération par récupération (RAG) pour l'IA explicable (XAI). Les auteurs introduisent une méthodologie de réponse à des questions traçables qui exploite une base de connaissances externe pour informer les réponses des LLM et fournir des explications compréhensibles par l'homme pour les sorties de modèles complexes. L'approche repose sur quatre caractéristiques clés des explications humaines : sociale, causale, sélective et contrastive, tirées de la recherche en sciences sociales. Les auteurs utilisent la raisonnement par contrefactuelle subtractive pour calculer l'importance des caractéristiques, en analysant les variations d'output résultant de la décomposition des caractéristiques sémantiques. Ils intègrent les LLM avec la base de connaissances pour générer des explications en langage naturel à la fois précises et conviviales pour l'homme. L'approche est conçue pour combler le fossé entre les sorties de modèles complexes et la compréhension de l'utilisateur, la rendant plus accessible aux non-spécialistes. Le document démontre le potentiel des LLM en tant qu'explicateurs a posteriori, en mettant en évidence leur capacité à fournir des explications en langage naturel pour les sorties de modèles complexes. La méthodologie proposée a le potentiel d'avancer le développement d'explications compréhensibles par l'homme dans diverses applications.;https://arxiv.org/pdf/2407.20990
MoFO: Momentum-Filtered Optimizer for Mitigating Forgetting in LLM Fine-Tuning;2024-07-30;"Here is a detailed and concise summary of the content:

The document introduces MoFO, a new fine-tuning algorithm designed to mitigate catastrophic forgetting in Large Language Models (LLMs) during fine-tuning. MoFO iteratively selects and updates the model parameters with the largest momentum magnitudes, keeping parameters closer to the pre-trained model. This approach does not require access to pre-training data and does not alter the original loss function, making it suitable for fine-tuning scenarios where pre-training data is unavailable. MoFO has been shown to outperform existing methods in mitigating forgetting and enhancing fine-tuning performance. The algorithm is motivated by the observation that the fine-tuning loss landscape of LLMs has many minima, and conventional regularization-based methods may not converge to the closest minimum. MoFO partitions the model parameters into fixed parts and selects the parameter entries with the largest momentum magnitudes in each part for update. Empirical evaluation demonstrates that MoFO converges to a point closer to the pre-trained model and mitigates catastrophic forgetting in LLMs. The authors conclude that MoFO is a promising approach to mitigating forgetting in LLMs during fine-tuning, with significant advantages over existing methods.";"Voici un aperçu détaillé et concis du contenu :

Le document présente MoFO, un nouveau algorithme de fine-tuning conçu pour atténuer l'oubli catastrophique dans les grands modèles de langage (LLM) lors du fine-tuning. MoFO itère pour sélectionner et mettre à jour les paramètres avec les plus grandes magnitudes de moment, en maintenant les paramètres plus proches du modèle pré-entraîné. Cette approche n'exige pas l'accès aux données d'entraînement préalable et ne modifie pas la fonction de perte d'origine, ce qui la rend adaptée aux scénarios de fine-tuning où les données d'entraînement préalable ne sont pas disponibles. MoFO a été démontré comme surpassant les méthodes existantes en matière d'atténuation de l'oubli et d'amélioration des performances de fine-tuning. L'algorithme est motivé par l'observation que le paysage de perte d'entraînement des LLM présente de nombreux minima, et que les méthodes de régularisation conventionnelles peuvent ne pas converger vers le minimum le plus proche. MoFO partitionne les paramètres du modèle en parties fixes et sélectionne les entrées de paramètre avec les plus grandes magnitudes de moment dans chaque partie pour la mise à jour. L'évaluation empirique montre que MoFO converge vers un point plus proche du modèle pré-entraîné et atténue l'oubli catastrophique dans les LLM. Les auteurs concluent que MoFO est une approche prometteuse pour atténuer l'oubli dans les LLM lors du fine-tuning, avec des avantages significatifs par rapport aux méthodes existantes.";https://arxiv.org/pdf/2407.20999
Can LLMs be Fooled? Investigating Vulnerabilities in LLMs;2024-07-30;"The document ""Can LLMs be Fooled? Investigating Vulnerabilities in LLMs"" examines the potential vulnerabilities of Large Language Models (LLMs) and proposes mitigation strategies to address them. The authors classify LLM vulnerabilities into three categories: model-based, training-time, and inference-time vulnerabilities. Model-based vulnerabilities include model extraction, model leeching, and model imitation attacks, which can be mitigated through ""Model Editing"" and ""Chroma Teaming"" strategies. Training-time vulnerabilities, such as data poisoning and backdoor attacks, can be mitigated through data sanitizing, preprocessing, and applying differential privacy techniques during training. Inference-time vulnerabilities, including prompt injections and jailbreaking attacks, can be mitigated through robustness and security measures during model deployment.

Understanding LLM vulnerabilities is crucial for developing robust and secure models, and mitigation strategies are essential for protecting LLMs against adversarial attacks. The document emphasizes the importance of research to develop effective mitigation strategies and to anticipate and mitigate future risks. It also highlights the need for a comprehensive overview of LLM vulnerabilities and the identification of potential threats to LLM security.

The document provides an overview of various attacks and threats to LLMs, including backdoor attacks, paraphrasing attacks, spoofing attacks, jailbreaking, and prompt injection. It also discusses model editing techniques, such as SERAC, MEMIT, and MEMIT CSK, which can enhance LLMs by making local updates to their behavior. Chroma Teaming, a concept that represents the collaborative synergy among red, blue, green, and purple teams, aims to fortify LLMs against adversarial attacks.

The document concludes that the proposed strategies and techniques can be applied to a broad spectrum of LLMs throughout their life cycle. It also highlights the limitations of current mitigation strategies and proposes research directions to bridge the existing gaps in LLM security, vulnerability, and risk mitigation. Overall, the document provides a comprehensive study of LLM vulnerabilities and effective strategies to mitigate them, emphasizing the importance of understanding and mitigating these threats to ensure the security and privacy of LLMs.";"Le document ""Peuvent-ils être trompés ? Examen des vulnérabilités des LLMs"" examine la vulnérabilité potentielle des grands modèles linguistiques (LLMs) et propose des stratégies de mitigation pour y remédier. Les auteurs classent les vulnérabilités des LLMs en trois catégories : basées sur le modèle, au moment de la formation et au moment de l'inférence. Les vulnérabilités basées sur le modèle incluent l'extraction de modèle, le transfert de modèle et l'imitation de modèle, qui peuvent être atténuées par la stratégie de ""Modification du modèle"" et la stratégie de ""Coéquipage chromatique"". Les vulnérabilités au moment de la formation, telles que la pollution de données et les attaques de porte dérobée, peuvent être atténuées par la désinfection des données, la préparation des données et l'application de techniques de confidentialité différentielle pendant la formation. Les vulnérabilités au moment de l'inférence, telles que les injections de prompt et les attaques de jailbreaking, peuvent être atténuées par des mesures de robustesse et de sécurité lors du déploiement du modèle.

La compréhension des vulnérabilités des LLM est cruciale pour développer des modèles robustes et sécurisés, et les stratégies de mitigation sont essentielles pour protéger les LLMs contre les attaques adverses. Le document souligne l'importance de la recherche pour développer des stratégies de mitigation efficaces et anticiper et atténuer les risques futurs. Il souligne également la nécessité d'une vue d'ensemble complète des vulnérabilités des LLM et l'identification des menaces potentielles pour la sécurité des LLM.

Le document fournit un aperçu des différentes attaques et menaces pour les LLM, telles que les attaques de porte dérobée, les attaques de paraphrase, les attaques d'usurpation d'identité, le jailbreaking et l'injection de prompt. Il discute également des techniques de modification de modèle, telles que SERAC, MEMIT et MEMIT CSK, qui peuvent améliorer les LLM en effectuant des mises à jour locales sur leur comportement. Le concept de ""Coéquipage chromatique"", qui représente la synergie collaborative entre les équipes rouges, bleues, vertes et violettes, vise à renforcer les LLM contre les attaques adversariales.

Le document conclut que les stratégies et techniques proposées peuvent être appliquées à un large éventail de LLM tout au long de leur cycle de vie. Il souligne également les limites des stratégies de mitigation actuelles et propose des directions de recherche pour combler les lacunes en matière de sécurité, de vulnérabilité et de mitigation des risques liés aux LLM. Globalement, le document fournit une étude approfondie des vulnérabilités des LLM et des stratégies efficaces pour les atténuer, soulignant l'importance de comprendre et de mitiger ces menaces afin d'assurer la sécurité et la confidentialité des LLM.";https://arxiv.org/pdf/2407.20529
Enhancing Agricultural Machinery Management through Advanced LLM Integration;2024-07-30;"Here is a concise and accurate summary of the document:

The document presents a novel approach to enhance agricultural machinery management by leveraging advanced large language models (LLMs) and multi-round prompt engineering. The proposed method iteratively refines the model's understanding through carefully crafted prompts, leading to more accurate and practical solutions. The study reviews the current state of the art in agricultural machinery management, highlighting the limitations of traditional approaches and introducing the concept of Consultation on Intelligent Agricultural Machinery Management (CIAMM). The paper describes a novel prompt engineering methodology that leverages LLMs to generate precise and contextually relevant outputs, demonstrating the potential of advanced prompt engineering techniques to improve the robustness and applicability of AI in agricultural contexts. Experimental results across different agricultural scenarios demonstrate the superiority of the multi-round prompt method over traditional single-prompt and advanced techniques, achieving higher accuracy and GPT-4 scores compared to baseline and comparison models. The approach has the potential to contribute to more efficient and sustainable farming practices through intelligent agricultural machinery management, highlighting the importance of tailored prompt engineering in maximizing the potential of LLMs for specific applications. The primary objective of the document is to present a novel approach for enhancing intelligent agricultural machinery management using large language models and multi-round prompt engineering, aiming to demonstrate the effectiveness of the proposed method in improving the accuracy and practical applicability of LLMs in agricultural scenarios.";"Voici un résumé concis et précis du document :

Le document présente une approche novatrice pour améliorer la gestion des machines agricoles en tirant parti des grands modèles de langage (LLM) avancés et de l'ingénierie de prompts à plusieurs tours. Le modèle est affiné de manière itérative en utilisant des prompts soigneusement conçus, ce qui conduit à des solutions plus précises et pratiques. L'étude examine l'état actuel de l'art en matière de gestion des machines agricoles, mettant en évidence les limites des approches traditionnelles et introduisant le concept de Consultation sur la Gestion Intelligente des Machines Agricoles (CIAMM). Le papier décrit une méthode innovante d'ingénierie de prompts qui exploite les LLM pour générer des résultats précis et contextuellement pertinents, démontrant le potentiel des techniques d'ingénierie de prompts avancées pour améliorer la robustesse et l'applicabilité de l'IA dans les contextes agricoles. Les résultats expérimentaux dans différents scénarios agricoles montrent que la méthode à plusieurs tours est supérieure aux méthodes à un seul prompt et aux techniques avancées, atteignant une précision et des scores GPT-4 supérieurs par rapport aux modèles de référence et de base. L'approche a le potentiel de contribuer à des pratiques agricoles plus efficaces et durables grâce à une gestion intelligente des machines agricoles, mettant en évidence l'importance d'une ingénierie de prompts adaptée pour maximiser le potentiel des LLM dans des applications spécifiques. L'objectif principal du document est de présenter une approche novatrice pour améliorer la gestion intelligente des machines agricoles en utilisant des grands modèles de langage et une ingénierie de prompts à plusieurs tours, visant à démontrer l'efficacité de la méthode proposée pour améliorer l'exactitude et l'applicabilité pratique des LLM dans des scénarios agricoles.";https://arxiv.org/pdf/2407.20588
Do LLMs Really Adapt to Domains? An Ontology Learning Perspective;2024-07-29;"Here is a concise and accurate summary of the document:

The document investigates the adaptability and generalizability of Large Language Models (LLMs) in Ontology Learning (OL) tasks. The authors create synthetic datasets by turning domain-specific terms into gibberish and evaluate the performance of LLMs on relation extraction and taxonomy discovery tasks. The study aims to explore whether LLMs rely on lexical senses or textual semantic information to infer taxonomical relationships. The results show that LLMs adapt to domains to some extent, but their performance is not consistently better than chance. Fine-tuning LLMs on specific tasks improves their performance, but the authors observe a significant drop in performance when transferring models to new domains. The study highlights the limitations of LLMs in adapting to arbitrary domains and the importance of reasoning with lexical semantics. The authors propose a fine-tuning approach to improve LLMs' performance in OL tasks, but note that it is still limited by the model's reliance on prior semantics. The document provides a comprehensive analysis of the limitations of LLMs in adapting to arbitrary domains and highlights the importance of fine-tuning and reasoning with lexical semantics for improved performance in OL tasks.";"Voici un résumé concis et précis du document :

Le document étudie l'adaptabilité et la généralisabilité des grands modèles de langage (LLMs) dans les tâches d'apprentissage automatique des ontologies (OL). Les auteurs créent des jeux de données synthétiques en transformant des termes de domaine spécifique en charabia et évaluent la performance des LLMs dans les tâches d'extraction de relations et de découverte de taxonomies. L'étude vise à explorer si les LLMs dépendent du sens des mots ou de l'information sémantique textuelle pour inférer des relations taxonomiques. Les résultats montrent que les LLMs s'adaptent à certains domaines, mais leur performance n'est pas systématiquement meilleure que le hasard. Le fait de fine-tuner les LLMs pour des tâches spécifiques améliore leur performance, mais les auteurs observent une baisse significative de la performance lors du transfert de modèles vers de nouveaux domaines. L'étude met en évidence les limites des LLMs pour s'adapter à des domaines arbitraires et l'importance de la raisonnement avec la sémantique lexicale. Les auteurs proposent une approche de fine-tuning pour améliorer la performance des LLMs dans les tâches OL, mais notent que cela reste limité par la dépendance du modèle à la sémantique antérieure. Le document fournit une analyse approfondie des limitations des LLMs pour s'adapter à des domaines arbitraires et souligne l'importance du fine-tuning et de la raisonnement avec la sémantique lexicale pour améliorer la performance dans les tâches OL.";https://arxiv.org/pdf/2407.19998
Monetizing Currency Pair Sentiments through LLM Explainability;2024-07-29;The document explores the application of Large Language Models (LLMs) in the financial sector for sentiment analysis (SA) and explainability. The authors propose a novel technique to leverage LLMs as a post-hoc model-independent tool for SA explainability, identifying the set of keywords or terms in a narrative that support (explain) the sentiment according to the inference model. This technique demonstrates its effectiveness in predicting currency-pair prices using open news feed data merged with market prices, showing that it can be a viable alternative to conventional eXplainable AI and can even be fed back to enrich the input to the machine learning (ML) model to better predict future currency-pair values. The authors highlight the importance of explainability in AI-based systems, particularly in the financial sector, and discuss the challenges of interpreting complex ML models. They also describe the use of LLMs for few-shot and zero-shot learning, as well as their ability to perform natural language processing tasks. The results of the study suggest that the developed technique can be used to improve the accuracy of predictions about currency-pair future rate behaviors, and the authors envision the potential monetary benefit to be exploited from explanatory information about sentiment classification. The document's purpose is to propose a novel technique for leveraging LLMs as a post-hoc model-independent tool for SA explainability and demonstrate its application in the financial sector, specifically for predicting currency-pair prices.;Le document explore l'application des grands modèles linguistiques (LLMs) dans le secteur financier pour l'analyse de sentiment (AS) et l'explainabilité. Les auteurs proposent une technique novatrice pour exploiter les LLMs en tant qu'outil d'explainabilité post-hoc, indépendant du modèle pour l'AS. Cette technique démontre son efficacité dans la prédiction des prix de paires de devises à partir de données d'actualités ouvertes fusionnées avec des prix de marché, montrant qu'elle peut être une alternative viable à l'explainabilité artificielle conventionnelle et peut même être réinjectée pour enrichir l'entrée du modèle d'apprentissage automatique (ML) afin d'améliorer la prédiction des valeurs futures de paires de devises. Les auteurs soulignent l'importance de l'explainabilité dans les systèmes basés sur l'IA, en particulier dans le secteur financier, et discutent des défis liés à l'interprétation des modèles ML complexes. Ils décrivent également l'utilisation des LLMs pour l'apprentissage par petits lots et sans lots, ainsi que leur capacité à effectuer des tâches de traitement du langage naturel. Les résultats de l'étude suggèrent que la technique développée peut être utilisée pour améliorer l'exactitude des prédictions concernant les comportements futurs des taux de change de paires de devises, et les auteurs envisagent le potentiel bénéfice financier à exploiter à partir d'informations explicatives sur la classification des sentiments. Le but du document est de proposer une technique novatrice pour exploiter les LLMs en tant qu'outil d'explainabilité post-hoc et de démontrer son application dans le secteur financier, en particulier pour la prédiction des prix de paires de devises.;https://arxiv.org/pdf/2407.19922
